total.voter,total.vote,valid.vote,opened.ballot,total.ballot,EVET.vote,EVET.ratio,HAYIR.vote,HAYIR.ratio,district.LAU,voter.count.Haziran,voted.count.Haziran,unchallenged.valid.vote.count.Haziran,challenged.valid.vote.count.Haziran,total.valid.vote.count.Haziran,invalid.vote.count.Haziran,AKP.Haziran,CHP.Haziran,HDP.Haziran,MHP.Haziran,voter.count.Kasim,voted.count.Kasim,unchallenged.valid.vote.count.Kasim,challenged.valid.vote.count.Kasim,total.valid.vote.count.Kasim,invalid.vote.count.Kasim,AKP.Kasim,CHP.Kasim,HDP.Kasim,MHP.Kasim,AKP.2018meclis,MHP.2018meclis,CHP.2018meclis,IYI.2018meclis,SP.2018meclis,HDP.2018meclis,VP.2018meclis,HUDAPAR.2018meclis,BGMSZ.2018meclis,voter.count.2018meclis,voted.count.2018meclis,total.valid.vote.count.2018meclis,invalid.vote.count.2018meclis,INCE.2018cb,AKSENER.2018cb,ERDOGAN.2018cb,DEMIRTAS.2018cb,KARAMOLLAOGLU.2018cb,PERINCEK.2018cb,voter.count.2018cb,voted.count.2018cb,total.valid.vote.count.2018cb,invalid.vote.count.2018cb,province.name,province.name.ascii,province.HASC,province.iso3166.2,province.iso3166.2.character,province.NUTS3,province.FIPS,province.population.2007,province.area.km2,region.code,district.name,district.name.ascii,district.name.ascii.normalized
42523,36527,35782,141,141,22620,6322,13162,3678,1415,41334,34794,33887,0,33887,907,17587,3976,6529,4589,41652,35600,34949,0,34949,651,22434,4811,3605,3286,19333,3275,5414,3130,419,4616,100,143,0,43348,37436,36430,1006,8058,2850,22529,2516,314,103,43348,37456,36370,1086,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,islahiye,islahiye,islahiye
6496,5721,5612,43,43,3303,5886,2309,4114,1956,6722,5793,5791,2,5793,0,2568,1406,314,1372,6646,5741,5650,1,5651,90,2910,1353,172,1106,2940,608,1177,1008,68,121,7,40,0,6732,6109,5969,140,1508,884,3464,59,52,13,6732,6112,5980,132,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,karkamış,karkamis,karkamis
86090,71663,70435,278,278,47291,6714,23144,3286,1546,83514,68419,66910,0,66910,1509,33630,10993,9879,9526,83941,69748,68718,0,68718,1030,44536,9904,6052,6573,40689,8073,8860,5624,1171,6998,118,975,0,87621,74158,72508,1650,12828,4567,49069,4910,823,146,87621,74165,72343,1822,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,nizip,nizip,nizip
24996,21300,20995,91,91,16030,7635,4965,2365,1974,23873,19791,19392,0,19392,399,11650,1299,1788,4006,24166,20472,20211,0,20211,261,14638,1634,1161,2454,12210,4715,2349,1170,134,1133,29,40,0,25635,22155,21780,375,2981,1379,16499,691,104,39,25635,22149,21693,456,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,nurdağı,nurdagi,nurdagi
19735,16882,16602,113,113,11019,6637,5583,3363,1549,18400,16001,15614,1,15615,386,7599,2626,295,4548,18223,16097,15870,0,15870,227,9758,2577,147,3050,7822,4662,2783,1392,191,227,26,61,0,19461,17438,17164,274,3461,1456,11920,101,135,28,19461,17469,17101,368,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,oğuzeli,oguzeli,oguzeli
530383,437564,431018,1394,1394,263998,6125,167020,3875,1841,506378,413688,405521,3,405524,8164,185765,71930,54950,79803,511549,424976,418341,972,419313,5663,257033,72405,41496,40162,233136,63189,72355,30545,4915,50456,943,2620,0,549859,466715,458159,8556,105348,23602,291129,32110,3567,809,549859,466642,456565,10077,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,şahinbey,sahinbey,sahinbey
438371,365530,359418,1148,1148,221188,6154,138230,3846,1844,417671,345163,337705,291,337996,7167,156024,52139,60264,57638,420245,354243,349154,1,349155,5088,211862,55709,42878,31596,192611,42950,56534,24553,4931,52594,668,4629,0,448736,386592,379470,7122,81567,18086,236211,38205,3601,750,448736,386632,378420,8212,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,şehitkamil,sehitkamil,sehitkamil
12513,11206,11017,55,55,7617,6914,3400,3086,1720,12582,10996,10706,0,10706,290,5846,2006,1067,891,12423,11208,11028,0,11028,180,7289,2059,617,685,6685,980,1747,617,299,900,11,82,0,12840,11562,11321,241,2494,568,7792,270,182,19,12840,11569,11325,244,gaziantep,gaziantep,TR.GA,27,27,TRC11,TU83,1560023,6207,SE,yavuzeli,yavuzeli,yavuzeli
8649,4926,4813,55,55,4021,8354,792,1646,1133,8322,6026,5861,0,5861,165,4213,334,58,881,7303,5639,5565,0,5565,74,4514,235,33,578,3909,1056,255,398,110,14,9,5,0,7393,5909,5756,153,366,372,4885,9,83,8,7393,5920,5723,197,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,alucra,alucra,alucra
48787,42211,41553,167,167,26350,6341,15203,3659,1212,46876,39616,38917,0,38917,699,22126,9041,425,5333,47434,41216,40702,0,40702,514,26427,8728,233,4007,23640,4953,9334,4356,729,448,95,80,0,50136,44621,43635,986,11668,2476,28563,108,582,69,50136,44635,43466,1169,giresun,giresun,TR.GI,28,28,TR903,TU28,417505,6934,BS,bulancak,bulancak,bulancak
